year,winners,category
1942,Churchill's Island,Best Documentary
1942,I Wanted Wings,"Best Effects, Special Effects"
1942,Sergeant York,Best Film Editing
1942,Lady Be Good,"Best Music, Original Song"
1942,All That Money Can Buy,"Best Music, Scoring of a Dramatic Picture"
1942,Dumbo,"Best Music, Scoring of a Musical Picture"
1942,How Green Was My Valley,Best Picture
1942,Lend a Paw,"Best Short Subject, Cartoons"
1942,Of Pups and Puzzles,"Best Short Subject, One-reel"
1942,Main Street on the March!,"Best Short Subject, Two-reel"
1942,That Hamilton Woman,"Best Sound, Recording"
1942,Citizen Kane,"Best Writing, Original Screenplay"
1942,Here Comes Mr. Jordan,"Best Writing, Original Story"
1942,Here Comes Mr. Jordan,"Best Writing, Screenplay"
1943,James Cagney,Best Actor in a Leading Role
1943,Van Heflin,Best Actor in a Supporting Role
1943,Greer Garson,Best Actress in a Leading Role
1943,Teresa Wright,Best Actress in a Supporting Role
1943,This Above All,"Best Art Direction-Interior Decoration, Black-and-White"
1943,My Gal Sal,"Best Art Direction-Interior Decoration, Color"
1943,Mrs. Miniver,"Best Cinematography, Black-and-White"
1943,The Black Swan,"Best Cinematography, Color"
1943,William Wyler,Best Director
1943,Kokoda Front Line!,Best Documentary
1943,Reap the Wild Wind,"Best Effects, Special Effects"
1943,The Pride of the Yankees,Best Film Editing
1943,Holiday Inn,"Best Music, Original Song"
1943,"Now, Voyager","Best Music, Scoring of a Dramatic or Comedy Picture"
1943,Yankee Doodle Dandy,"Best Music, Scoring of a Musical Picture"
1943,Mrs. Miniver,Best Picture
1943,Der Fuehrer's Face,"Best Short Subject, Cartoons"
1943,Speaking of Animals and Their Families,"Best Short Subject, One-reel"
1943,Beyond the Line of Duty,"Best Short Subject, Two-reel"
1943,Yankee Doodle Dandy,"Best Sound, Recording"
1943,Woman of the Year,"Best Writing, Original Screenplay"
1943,49th Parallel,"Best Writing, Original Story"
1943,Mrs. Miniver,"Best Writing, Screenplay"
1944,Paul Lukas,Best Actor in a Leading Role
1944,Charles Coburn,Best Actor in a Supporting Role
1944,Jennifer Jones,Best Actress in a Leading Role
1944,Katina Paxinou,Best Actress in a Supporting Role
1944,The Song of Bernadette,"Best Art Direction-Interior Decoration, Black-and-White"
1944,Phantom of the Opera,"Best Art Direction-Interior Decoration, Color"
1944,The Song of Bernadette,"Best Cinematography, Black-and-White"
1944,Phantom of the Opera,"Best Cinematography, Color"
1944,Michael Curtiz,Best Director
1944,Desert Victory,"Best Documentary, Features"
1944,December 7th,"Best Documentary, Short Subjects"
1944,Crash Dive,"Best Effects, Special Effects"
1944,Air Force,Best Film Editing
1944,"Hello Frisco, Hello","Best Music, Original Song"
1944,The Song of Bernadette,"Best Music, Scoring of a Dramatic or Comedy Picture"
