year,winners,category
1979,The Deer Hunter,Best Film Editing
1979,Get Out Your Handkerchiefs,Best Foreign Language Film
1979,Midnight Express,"Best Music, Original Score"
1979,Thank God It's Friday,"Best Music, Original Song"
1979,The Buddy Holly Story,"Best Music, Original Song Score and Its Adaptation or Best Adaptation Score"
1979,The Deer Hunter,Best Picture
1979,Special Delivery,"Best Short Film, Animated"
1979,Teenage Father,"Best Short Film, Live Action"
1979,The Deer Hunter,Best Sound
1979,Midnight Express,"Best Writing, Screenplay Based on Material from Another Medium"
1979,Coming Home,"Best Writing, Screenplay Written Directly for the Screen"
1980,Dustin Hoffman,Best Actor in a Leading Role
1980,Melvyn Douglas,Best Actor in a Supporting Role
1980,Sally Field,Best Actress in a Leading Role
1980,Meryl Streep,Best Actress in a Supporting Role
1980,All That Jazz,Best Art Direction-Set Decoration
1980,Apocalypse Now,Best Cinematography
1980,All That Jazz,Best Costume Design
1980,Robert Benton,Best Director
1980,Best Boy,"Best Documentary, Features"
1980,Paul Robeson: Tribute to an Artist,"Best Documentary, Short Subjects"
1980,Alien,"Best Effects, Visual Effects"
1980,All That Jazz,Best Film Editing
1980,The Tin Drum,Best Foreign Language Film
1980,A Little Romance,"Best Music, Original Score"
1980,Norma Rae,"Best Music, Original Song"
1980,All That Jazz,"Best Music, Original Song Score and Its Adaptation or Best Adaptation Score"
1980,Kramer vs. Kramer,Best Picture
1980,Every Child,"Best Short Film, Animated"
1980,Board and Care,"Best Short Film, Live Action"
1980,Apocalypse Now,Best Sound
1980,Kramer vs. Kramer,"Best Writing, Screenplay Based on Material from Another Medium"
1980,Breaking Away,"Best Writing, Screenplay Written Directly for the Screen"
1981,Robert De Niro,Best Actor in a Leading Role
1981,Timothy Hutton,Best Actor in a Supporting Role
1981,Sissy Spacek,Best Actress in a Leading Role
1981,Mary Steenburgen,Best Actress in a Supporting Role
1981,Tess,Best Art Direction-Set Decoration
1981,Tess,Best Cinematography
1981,Tess,Best Costume Design
1981,Robert Redford,Best Director
1981,From Mao to Mozart: Isaac Stern in China,"Best Documentary, Features"
1981,Karl Hess: Toward Liberty,"Best Documentary, Short Subjects"
1981,Raging Bull,Best Film Editing
1981,Moscow Does Not Believe in Tears,Best Foreign Language Film
1981,Fame,"Best Music, Original Score"
1981,Fame,"Best Music, Original Song"
1981,Ordinary People,Best Picture
1981,The Fly,"Best Short Film, Animated"
1981,The Dollar Bottom,"Best Short Film, Live Action"
1981,Star Wars: Episode V - The Empire Strikes Back,Best Sound
1981,Ordinary People,"Best Writing, Screenplay Based on Material from Another Medium"
1981,Melvin and Howard,"Best Writing, Screenplay Written Directly for the Screen"
1982,Henry Fonda,Best Actor in a Leading Role
1982,John Gielgud,Best Actor in a Supporting Role
1982,Katharine Hepburn,Best Actress in a Leading Role
1982,Maureen Stapleton,Best Actress in a Supporting Role
1982,Indiana Jones and the Raiders of the Lost Ark,Best Art Direction-Set Decoration
1982,Reds,Best Cinematography
1982,Chariots of Fire,Best Costume Design
1982,Warren Beatty,Best Director
1982,Genocide,"Best Documentary, Features"
1982,Close Harmony,"Best Documentary, Short Subjects"
1982,Indiana Jones and the Raiders of the Lost Ark,"Best Effects, Visual Effects"
1982,Indiana Jones and the Raiders of the Lost Ark,Best Film Editing
1982,Mephisto,Best Foreign Language Film
1982,An American Werewolf in London,Best Makeup
1982,Chariots of Fire,"Best Music, Original Score"
1982,Arthur,"Best Music, Original Song"
1982,Chariots of Fire,Best Picture
1982,Crac,"Best Short Film, Animated"
1982,Violet,"Best Short Film, Live Action"
1982,Indiana Jones and the Raiders of the Lost Ark,Best Sound
1982,On Golden Pond,"Best Writing, Screenplay Based on Material from Another Medium"
1982,Chariots of Fire,"Best Writing, Screenplay Written Directly for the Screen"
1983,Ben Kingsley,Best Actor in a Leading Role
1983,Louis Gossett Jr.,Best Actor in a Supporting Role
1983,Meryl Streep,Best Actress in a Leading Role
1983,Jessica Lange,Best Actress in a Supporting Role
1983,Gandhi,Best Art Direction-Set Decoration
1983,Gandhi,Best Cinematography
1983,Gandhi,Best Costume Design
1983,Richard Attenborough,Best Director
1983,The Fifth Estate,"Best Documentary, Features"
1983,If You Love This Planet,"Best Documentary, Short Subjects"
1983,E.T. the Extra-Terrestrial,"Best Effects, Sound Effects Editing"
1983,E.T. the Extra-Terrestrial,"Best Effects, Visual Effects"
1983,Gandhi,Best Film Editing
1983,Volver a empezar,Best Foreign Language Film
1983,Quest for Fire,Best Makeup
1983,E.T. the Extra-Terrestrial,"Best Music, Original Score"
1983,An Officer and a Gentleman,"Best Music, Original Song"
1983,Victor/Victoria,"Best Music, Original Song Score and Its Adaptation or Best Adaptation Score"
1983,Gandhi,Best Picture
1983,Tango,"Best Short Film, Animated"
1983,A Shocking Accident,"Best Short Film, Live Action"
1983,E.T. the Extra-Terrestrial,Best Sound
1983,Missing,"Best Writing, Screenplay Based on Material from Another Medium"
1983,Gandhi,"Best Writing, Screenplay Written Directly for the Screen"
1984,Robert Duvall,Best Actor in a Leading Role
1984,Jack Nicholson,Best Actor in a Supporting Role
1984,Shirley MacLaine,Best Actress in a Leading Role
1984,Linda Hunt,Best Actress in a Supporting Role
1984,Fanny and Alexander,Best Art Direction-Set Decoration
1984,Fanny and Alexander,Best Cinematography
1984,Fanny and Alexander,Best Costume Design
1984,James L. Brooks,Best Director
1984,He Makes Me Feel Like Dancin',"Best Documentary, Features"
1984,Flamenco at 5:15,"Best Documentary, Short Subjects"
1984,The Right Stuff,"Best Effects, Sound Effects Editing"
1984,The Right Stuff,Best Film Editing
1984,Fanny and Alexander,Best Foreign Language Film
1984,The Right Stuff,"Best Music, Original Score"
1984,Flashdance,"Best Music, Original Song"
1984,Yentl,"Best Music, Original Song Score and Its Adaptation or Best Adaptation Score"
1984,Terms of Endearment,Best Picture
1984,Sundae in New York,"Best Short Film, Animated"
1984,Boys and Girls,"Best Short Film, Live Action"
1984,The Right Stuff,Best Sound
1984,Terms of Endearment,"Best Writing, Screenplay Based on Material from Another Medium"
1984,Tender Mercies,"Best Writing, Screenplay Written Directly for the Screen"
1985,F. Murray Abraham,Best Actor in a Leading Role
1985,Haing S. Ngor,Best Actor in a Supporting Role
1985,Sally Field,Best Actress in a Leading Role
1985,Peggy Ashcroft,Best Actress in a Supporting Role
1985,Amadeus,Best Art Direction-Set Decoration
1985,The Killing Fields,Best Cinematography
1985,Amadeus,Best Costume Design
1985,Milos Forman,Best Director
1985,The Times of Harvey Milk,"Best Documentary, Features"
1985,The Stone Carvers,"Best Documentary, Short Subjects"
1985,Indiana Jones and the Temple of Doom,"Best Effects, Visual Effects"
1985,The Killing Fields,Best Film Editing
1985,Dangerous Moves,Best Foreign Language Film
1985,Amadeus,Best Makeup
1985,A Passage to India,"Best Music, Original Score"
1985,The Woman in Red,"Best Music, Original Song"
1985,Purple Rain,"Best Music, Original Song Score"
1985,Amadeus,Best Picture
1985,Charade,"Best Short Film, Animated"
1985,Up,"Best Short Film, Live Action"
1985,Amadeus,Best Sound
1985,Amadeus,"Best Writing, Screenplay Based on Material from Another Medium"
1985,Places in the Heart,"Best Writing, Screenplay Written Directly for the Screen"
1986,William Hurt,Best Actor in a Leading Role
1986,Don Ameche,Best Actor in a Supporting Role
1986,Geraldine Page,Best Actress in a Leading Role
1986,Anjelica Huston,Best Actress in a Supporting Role
1986,Out of Africa,Best Art Direction-Set Decoration
1986,Out of Africa,Best Cinematography
1986,Ran,Best Costume Design
1986,Sydney Pollack,Best Director
1986,Broken Rainbow,"Best Documentary, Features"
1986,Witness to War: Dr. Charlie Clements,"Best Documentary, Short Subjects"
1986,Back to the Future,"Best Effects, Sound Effects Editing"
1986,Cocoon,"Best Effects, Visual Effects"
1986,Witness,Best Film Editing
1986,The Official Story,Best Foreign Language Film
1986,Mask,Best Makeup
1986,Out of Africa,"Best Music, Original Score"
1986,White Nights,"Best Music, Original Song"
1986,Out of Africa,Best Picture
1986,Anna & Bella,"Best Short Film, Animated"
1986,Molly's Pilgrim,"Best Short Film, Live Action"
1986,Out of Africa,Best Sound
1986,Out of Africa,"Best Writing, Screenplay Based on Material from Another Medium"
1986,Witness,"Best Writing, Screenplay Written Directly for the Screen"
1987,Paul Newman,Best Actor in a Leading Role
1987,Michael Caine,Best Actor in a Supporting Role
1987,Marlee Matlin,Best Actress in a Leading Role
1987,Dianne Wiest,Best Actress in a Supporting Role
1987,A Room with a View,Best Art Direction-Set Decoration
1987,The Mission,Best Cinematography
1987,A Room with a View,Best Costume Design
1987,Oliver Stone,Best Director
1987,Artie Shaw: Time Is All You've Got,"Best Documentary, Features"
1987,"Women - for America, for the World","Best Documentary, Short Subjects"
1987,Aliens,"Best Effects, Sound Effects Editing"
1987,Aliens,"Best Effects, Visual Effects"
1987,Platoon,Best Film Editing
1987,The Assault,Best Foreign Language Film
1987,The Fly,Best Makeup
1987,'Round Midnight,"Best Music, Original Score"
1987,Top Gun,"Best Music, Original Song"
1987,Platoon,Best Picture
1987,A Greek Tragedy,"Best Short Film, Animated"
1987,Precious Images,"Best Short Film, Live Action"
1987,Platoon,Best Sound
1987,A Room with a View,"Best Writing, Screenplay Based on Material from Another Medium"
1987,Hannah and Her Sisters,"Best Writing, Screenplay Written Directly for the Screen"
1988,Michael Douglas,Best Actor in a Leading Role
1988,Sean Connery,Best Actor in a Supporting Role
1988,Cher,Best Actress in a Leading Role
1988,Olympia Dukakis,Best Actress in a Supporting Role
1988,The Last Emperor,Best Art Direction-Set Decoration
1988,The Last Emperor,Best Cinematography
1988,The Last Emperor,Best Costume Design
1988,Bernardo Bertolucci,Best Director
1988,The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table,"Best Documentary, Features"
1988,Young at Heart,"Best Documentary, Short Subjects"
1988,Innerspace,"Best Effects, Visual Effects"
1988,The Last Emperor,Best Film Editing
1988,Babette's Feast,Best Foreign Language Film
1988,Harry and the Hendersons,Best Makeup
1988,The Last Emperor,"Best Music, Original Score"
1988,Dirty Dancing,"Best Music, Original Song"
1988,The Last Emperor,Best Picture
1988,The Man Who Planted Trees,"Best Short Film, Animated"
1988,Ray's Male Heterosexual Dance Hall,"Best Short Film, Live Action"
1988,The Last Emperor,Best Sound
1988,The Last Emperor,"Best Writing, Screenplay Based on Material from Another Medium"
1988,Moonstruck,"Best Writing, Screenplay Written Directly for the Screen"
1989,Dustin Hoffman,Best Actor in a Leading Role
1989,Kevin Kline,Best Actor in a Supporting Role
1989,Jodie Foster,Best Actress in a Leading Role
1989,Geena Davis,Best Actress in a Supporting Role
1989,Dangerous Liaisons,Best Art Direction-Set Decoration
1989,Mississippi Burning,Best Cinematography
1989,Dangerous Liaisons,Best Costume Design
1989,Barry Levinson,Best Director
1989,Hôtel Terminus,"Best Documentary, Features"
1989,You Don't Have to Die,"Best Documentary, Short Subjects"
1989,Who Framed Roger Rabbit,"Best Effects, Sound Effects Editing"
1989,Who Framed Roger Rabbit,"Best Effects, Visual Effects"
1989,Who Framed Roger Rabbit,Best Film Editing
1989,Pelle the Conqueror,Best Foreign Language Film
1989,Beetlejuice,Best Makeup
1989,The Milagro Beanfield War,"Best Music, Original Score"
1989,Working Girl,"Best Music, Original Song"
1989,Rain Man,Best Picture
1989,Tin Toy,"Best Short Film, Animated"
1989,The Appointments of Dennis Jennings,"Best Short Film, Live Action"
1989,Bird,Best Sound
1989,Dangerous Liaisons,"Best Writing, Screenplay Based on Material from Another Medium"
1989,Rain Man,"Best Writing, Screenplay Written Directly for the Screen"
1990,Daniel Day-Lewis,Best Actor in a Leading Role
1990,Denzel Washington,Best Actor in a Supporting Role
1990,Jessica Tandy,Best Actress in a Leading Role
1990,Brenda Fricker,Best Actress in a Supporting Role
1990,Batman,Best Art Direction-Set Decoration
1990,Glory,Best Cinematography
1990,Henry V,Best Costume Design
1990,Oliver Stone,Best Director
1990,Common Threads: Stories from the Quilt,"Best Documentary, Features"
1990,The Johnstown Flood,"Best Documentary, Short Subjects"
1990,Indiana Jones and the Last Crusade,"Best Effects, Sound Effects Editing"
1990,The Abyss,"Best Effects, Visual Effects"
1990,Born on the Fourth of July,Best Film Editing
1990,Cinema Paradiso,Best Foreign Language Film
1990,Driving Miss Daisy,Best Makeup
1990,The Little Mermaid,"Best Music, Original Score"
1990,The Little Mermaid,"Best Music, Original Song"
1990,Driving Miss Daisy,Best Picture
1990,Balance,"Best Short Film, Animated"
1990,Work Experience,"Best Short Film, Live Action"
1990,Glory,Best Sound
1990,Driving Miss Daisy,"Best Writing, Screenplay Based on Material from Another Medium"
1990,Dead Poets Society,"Best Writing, Screenplay Written Directly for the Screen"
1991,Jeremy Irons,Best Actor in a Leading Role
1991,Joe Pesci,Best Actor in a Supporting Role
1991,Kathy Bates,Best Actress in a Leading Role
1991,Whoopi Goldberg,Best Actress in a Supporting Role
1991,Dick Tracy,Best Art Direction-Set Decoration
1991,Dances with Wolves,Best Cinematography
1991,Cyrano de Bergerac,Best Costume Design
1991,Kevin Costner,Best Director
1991,American Dream,"Best Documentary, Features"
1991,Days of Waiting,"Best Documentary, Short Subjects"
1991,The Hunt for Red October,"Best Effects, Sound Effects Editing"
1991,Dances with Wolves,Best Film Editing
1991,Journey of Hope,Best Foreign Language Film
1991,Dick Tracy,Best Makeup
1991,Dances with Wolves,"Best Music, Original Score"
1991,Dick Tracy,"Best Music, Original Song"
1991,Dances with Wolves,Best Picture
1991,Creature Comforts,"Best Short Film, Animated"
1991,The Lunch Date,"Best Short Film, Live Action"
1991,Dances with Wolves,Best Sound
1991,Dances with Wolves,"Best Writing, Screenplay Based on Material from Another Medium"
1991,Ghost,"Best Writing, Screenplay Written Directly for the Screen"
1992,Anthony Hopkins,Best Actor in a Leading Role
1992,Jack Palance,Best Actor in a Supporting Role
1992,Jodie Foster,Best Actress in a Leading Role
1992,Mercedes Ruehl,Best Actress in a Supporting Role
1992,Bugsy,Best Art Direction-Set Decoration
1992,JFK,Best Cinematography
1992,Bugsy,Best Costume Design
1992,Jonathan Demme,Best Director
1992,In the Shadow of the Stars,"Best Documentary, Features"
1992,"Deadly Deception: General Electric, Nuclear Weapons and Our Environment","Best Documentary, Short Subjects"
1992,Terminator 2: Judgment Day,"Best Effects, Sound Effects Editing"
1992,Terminator 2: Judgment Day,"Best Effects, Visual Effects"
1992,JFK,Best Film Editing
1992,Mediterraneo,Best Foreign Language Film
1992,Terminator 2: Judgment Day,Best Makeup
1992,Beauty and the Beast,"Best Music, Original Score"
1992,Beauty and the Beast,"Best Music, Original Song"
1992,The Silence of the Lambs,Best Picture
1992,Manipulation,"Best Short Film, Animated"
1992,Session Man,"Best Short Film, Live Action"
1992,Terminator 2: Judgment Day,Best Sound
1992,The Silence of the Lambs,"Best Writing, Screenplay Based on Material Previously Produced or Published"
1992,Thelma & Louise,"Best Writing, Screenplay Written Directly for the Screen"
1993,Al Pacino,Best Actor in a Leading Role
1993,Gene Hackman,Best Actor in a Supporting Role
1993,Emma Thompson,Best Actress in a Leading Role
1993,Marisa Tomei,Best Actress in a Supporting Role
1993,Howards End,Best Art Direction-Set Decoration
1993,A River Runs Through It,Best Cinematography
1993,Dracula,Best Costume Design
1993,Clint Eastwood,Best Director
1993,The Panama Deception,"Best Documentary, Features"
1993,Educating Peter,"Best Documentary, Short Subjects"
1993,Dracula,"Best Effects, Sound Effects Editing"
1993,Death Becomes Her,"Best Effects, Visual Effects"
1993,Unforgiven,Best Film Editing
1993,Indochine,Best Foreign Language Film
1993,Dracula,Best Makeup
1993,Aladdin,"Best Music, Original Score"
1993,Aladdin,"Best Music, Original Song"
1993,Unforgiven,Best Picture
1993,Mona Lisa Descending a Staircase,"Best Short Film, Animated"
1993,Omnibus,"Best Short Film, Live Action"
1993,The Last of the Mohicans,Best Sound
1993,Howards End,"Best Writing, Screenplay Based on Material Previously Produced or Published"
1993,The Crying Game,"Best Writing, Screenplay Written Directly for the Screen"
1994,Tom Hanks,Best Actor in a Leading Role
1994,Tommy Lee Jones,Best Actor in a Supporting Role
1994,Holly Hunter,Best Actress in a Leading Role
1994,Anna Paquin,Best Actress in a Supporting Role
1994,Schindler's List,Best Art Direction-Set Decoration
1994,Schindler's List,Best Cinematography
1994,The Age of Innocence,Best Costume Design
1994,Steven Spielberg,Best Director
1994,I Am a Promise: The Children of Stanton Elementary School,"Best Documentary, Features"
1994,Defending Our Lives,"Best Documentary, Short Subjects"
1994,Jurassic Park,"Best Effects, Sound Effects Editing"
1994,Jurassic Park,"Best Effects, Visual Effects"
1994,Schindler's List,Best Film Editing
1994,Belle Epoque,Best Foreign Language Film
1994,Mrs. Doubtfire,Best Makeup
1994,Schindler's List,"Best Music, Original Score"
1994,Philadelphia,"Best Music, Original Song"
1994,Schindler's List,Best Picture
1994,The Wrong Trousers,"Best Short Film, Animated"
1994,Black Rider,"Best Short Film, Live Action"
1994,Jurassic Park,Best Sound
1994,Schindler's List,"Best Writing, Screenplay Based on Material Previously Produced or Published"
1994,The Piano,"Best Writing, Screenplay Written Directly for the Screen"
1995,Tom Hanks,Best Actor in a Leading Role
1995,Martin Landau,Best Actor in a Supporting Role
1995,Jessica Lange,Best Actress in a Leading Role
1995,Dianne Wiest,Best Actress in a Supporting Role
1995,The Madness of King George,Best Art Direction-Set Decoration
1995,Legends of the Fall,Best Cinematography
1995,"The Adventures of Priscilla, Queen of the Desert",Best Costume Design
1995,Robert Zemeckis,Best Director
1995,Maya Lin: A Strong Clear Vision,"Best Documentary, Features"
1995,A Time for Justice,"Best Documentary, Short Subjects"
1995,Speed,"Best Effects, Sound Effects Editing"
1995,Forrest Gump,"Best Effects, Visual Effects"
1995,Forrest Gump,Best Film Editing
1995,Burnt by the Sun,Best Foreign Language Film
1995,Ed Wood,Best Makeup
1995,The Lion King,"Best Music, Original Score"
1995,The Lion King,"Best Music, Original Song"
1995,Forrest Gump,Best Picture
1995,Bob's Birthday,"Best Short Film, Animated"
1995,Franz Kafka's It's a Wonderful Life,"Best Short Film, Live Action"
1995,Speed,Best Sound
1995,Forrest Gump,"Best Writing, Screenplay Based on Material Previously Produced or Published"
1995,Pulp Fiction,"Best Writing, Screenplay Written Directly for the Screen"
1996,Nicolas Cage,Best Actor in a Leading Role
1996,Kevin Spacey,Best Actor in a Supporting Role
1996,Susan Sarandon,Best Actress in a Leading Role
1996,Mira Sorvino,Best Actress in a Supporting Role
1996,Restoration,Best Art Direction-Set Decoration
1996,Braveheart,Best Cinematography
1996,Restoration,Best Costume Design
1996,Mel Gibson,Best Director
1996,Anne Frank Remembered,"Best Documentary, Features"
1996,One Survivor Remembers,"Best Documentary, Short Subjects"
1996,Braveheart,"Best Effects, Sound Effects Editing"
1996,Babe,"Best Effects, Visual Effects"
1996,Apollo 13,Best Film Editing
1996,Antonia's Line,Best Foreign Language Film
1996,Braveheart,Best Makeup
1996,The Postman,"Best Music, Original Dramatic Score"
1996,Pocahontas,"Best Music, Original Musical or Comedy Score"
1996,Pocahontas,"Best Music, Original Song"
1996,Braveheart,Best Picture
1996,A Close Shave,"Best Short Film, Animated"
1996,Lieberman in Love,"Best Short Film, Live Action"
1996,Apollo 13,Best Sound
1996,Sense and Sensibility,"Best Writing, Screenplay Based on Material Previously Produced or Published"
1996,The Usual Suspects,"Best Writing, Screenplay Written Directly for the Screen"
1997,Geoffrey Rush,Best Actor in a Leading Role
1997,Cuba Gooding Jr.,Best Actor in a Supporting Role
1997,Frances McDormand,Best Actress in a Leading Role
1997,Juliette Binoche,Best Actress in a Supporting Role
1997,The English Patient,Best Art Direction-Set Decoration
1997,The English Patient,Best Cinematography
1997,The English Patient,Best Costume Design
1997,Anthony Minghella,Best Director
1997,When We Were Kings,"Best Documentary, Features"
1997,Breathing Lessons: The Life and Work of Mark O'Brien,"Best Documentary, Short Subjects"
1997,The Ghost and the Darkness,"Best Effects, Sound Effects Editing"
1997,Independence Day,"Best Effects, Visual Effects"
1997,The English Patient,Best Film Editing
1997,Kolya,Best Foreign Language Film
1997,The Nutty Professor,Best Makeup
1997,The English Patient,"Best Music, Original Dramatic Score"
1997,Emma,"Best Music, Original Musical or Comedy Score"
1997,Evita,"Best Music, Original Song"
1997,The English Patient,Best Picture
1997,Quest,"Best Short Film, Animated"
1997,Dear Diary,"Best Short Film, Live Action"
1997,The English Patient,Best Sound
1997,Sling Blade,"Best Writing, Screenplay Based on Material Previously Produced or Published"
1997,Fargo,"Best Writing, Screenplay Written Directly for the Screen"
1998,Jack Nicholson,Best Actor in a Leading Role
1998,Robin Williams,Best Actor in a Supporting Role
1998,Helen Hunt,Best Actress in a Leading Role
1998,Kim Basinger,Best Actress in a Supporting Role
1998,Titanic,Best Art Direction-Set Decoration
1998,Titanic,Best Cinematography
1998,Titanic,Best Costume Design
1998,James Cameron,Best Director
1998,The Long Way Home,"Best Documentary, Features"
1998,A Story of Healing,"Best Documentary, Short Subjects"
1998,Titanic,"Best Effects, Sound Effects Editing"
1998,Titanic,"Best Effects, Visual Effects"
1998,Titanic,Best Film Editing
1998,Character,Best Foreign Language Film
1998,Men in Black,Best Makeup
1998,Titanic,"Best Music, Original Dramatic Score"
1998,The Full Monty,"Best Music, Original Musical or Comedy Score"
1998,Titanic,"Best Music, Original Song"
1998,Titanic,Best Picture
1998,Geri's Game,"Best Short Film, Animated"
1998,Visas and Virtue,"Best Short Film, Live Action"
1998,Titanic,Best Sound
1998,L.A. Confidential,"Best Writing, Screenplay Based on Material Previously Produced or Published"
1998,Good Will Hunting,"Best Writing, Screenplay Written Directly for the Screen"
1999,Roberto Benigni,Best Actor in a Leading Role
1999,James Coburn,Best Actor in a Supporting Role
1999,Gwyneth Paltrow,Best Actress in a Leading Role
1999,Judi Dench,Best Actress in a Supporting Role
1999,Shakespeare in Love,Best Art Direction-Set Decoration
1999,Saving Private Ryan,Best Cinematography
1999,Shakespeare in Love,Best Costume Design
1999,Steven Spielberg,Best Director
1999,The Last Days,"Best Documentary, Features"
1999,The Personals,"Best Documentary, Short Subjects"
1999,Saving Private Ryan,"Best Effects, Sound Effects Editing"
1999,What Dreams May Come,"Best Effects, Visual Effects"
1999,Saving Private Ryan,Best Film Editing
1999,Life Is Beautiful,Best Foreign Language Film
1999,Elizabeth,Best Makeup
1999,Life Is Beautiful,"Best Music, Original Dramatic Score"
1999,Shakespeare in Love,"Best Music, Original Musical or Comedy Score"
1999,The Prince of Egypt,"Best Music, Original Song"
1999,Shakespeare in Love,Best Picture
1999,Bunny,"Best Short Film, Animated"
1999,Election Night,"Best Short Film, Live Action"
1999,Saving Private Ryan,Best Sound
1999,Gods and Monsters,"Best Writing, Screenplay Based on Material Previously Produced or Published"
1999,Shakespeare in Love,"Best Writing, Screenplay Written Directly for the Screen"
2000,Kevin Spacey,Best Actor in a Leading Role
2000,Michael Caine,Best Actor in a Supporting Role
2000,Hilary Swank,Best Actress in a Leading Role
2000,Angelina Jolie,Best Actress in a Supporting Role
2000,Sleepy Hollow,Best Art Direction-Set Decoration
2000,American Beauty,Best Cinematography
2000,Topsy-Turvy,Best Costume Design
2000,Sam Mendes,Best Director
2000,One Day in September,"Best Documentary, Features"
2000,King Gimp,"Best Documentary, Short Subjects"
2000,The Matrix,"Best Effects, Sound Effects Editing"
2000,The Matrix,"Best Effects, Visual Effects"
2000,The Matrix,Best Film Editing
2000,All About My Mother,Best Foreign Language Film
2000,Topsy-Turvy,Best Makeup
2000,The Red Violin,"Best Music, Original Score"
2000,Tarzan,"Best Music, Original Song"
2000,American Beauty,Best Picture
2000,The Old Man and the Sea,"Best Short Film, Animated"
2000,My Mother Dreams the Satan's Disciples in New York,"Best Short Film, Live Action"
2000,The Matrix,Best Sound
2000,The Cider House Rules,"Best Writing, Screenplay Based on Material Previously Produced or Published"
2000,American Beauty,"Best Writing, Screenplay Written Directly for the Screen"
2001,Russell Crowe,Best Actor in a Leading Role
2001,Benicio Del Toro,Best Actor in a Supporting Role
2001,Julia Roberts,Best Actress in a Leading Role
2001,Marcia Gay Harden,Best Actress in a Supporting Role
2001,"Crouching Tiger, Hidden Dragon",Best Art Direction-Set Decoration
2001,"Crouching Tiger, Hidden Dragon",Best Cinematography
2001,Gladiator,Best Costume Design
2001,Steven Soderbergh,Best Director
2001,Into the Arms of Strangers: Stories of the Kindertransport,"Best Documentary, Features"
2001,Big Mama,"Best Documentary, Short Subjects"
2001,Gladiator,"Best Effects, Visual Effects"
2001,Traffic,Best Film Editing
2001,"Crouching Tiger, Hidden Dragon",Best Foreign Language Film
2001,How the Grinch Stole Christmas,Best Makeup
2001,"Crouching Tiger, Hidden Dragon","Best Music, Original Score"
2001,Wonder Boys,"Best Music, Original Song"
2001,Gladiator,Best Picture
2001,Father and Daughter,"Best Short Film, Animated"
2001,Quiero ser (I want to be...),"Best Short Film, Live Action"
2001,Gladiator,Best Sound
2001,U-571,Best Sound Editing
2001,Traffic,"Best Writing, Screenplay Based on Material Previously Produced or Published"
2001,Almost Famous,"Best Writing, Screenplay Written Directly for the Screen"
2002,A Beautiful Mind,Best Picture
2002,Denzel Washington,Best Actor in a Leading Role
2002,Halle Berry,Best Actress in a Leading Role
2002,Jim Broadbent,Best Actor in a Supporting Role
2002,Jennifer Connelly,Best Actress in a Supporting Role
2002,Ron Howard,Best Director
2002,Gosford Park,"Best Writing, Screenplay Written Directly for the Screen"
2002,A Beautiful Mind,"Best Writing, Screenplay Based on Material Previously Produced or Published"
2002,No Man's Land,Best Foreign Language Film
2002,The Lord of the Rings: The Fellowship of the Ring,Best Cinematography
2002,Moulin Rouge!,Best Art Direction-Set Decoration
2002,Moulin Rouge!,Best Costume Design
2002,Black Hawk Down,Best Sound
2002,Pearl Harbor,Best Sound Editing
2002,Black Hawk Down,Best Film Editing
2002,The Lord of the Rings: The Fellowship of the Ring,"Best Effects, Visual Effects"
2002,The Lord of the Rings: The Fellowship of the Ring,Best Makeup
2002,"Monsters, Inc.","Best Music, Original Song"
2002,The Lord of the Rings: The Fellowship of the Ring,"Best Music, Original Score"
2002,For the Birds,"Best Short Film, Animated"
2002,The Accountant,"Best Short Film, Live Action"
2002,Thoth,"Best Documentary, Short Subjects"
2002,Murder on a Sunday Morning,"Best Documentary, Features"
2002,Shrek,Best Animated Feature
2003,Chicago,Best Picture
2003,Adrien Brody,Best Actor in a Leading Role
2003,Nicole Kidman,Best Actress in a Leading Role
2003,Chris Cooper,Best Actor in a Supporting Role
2003,Catherine Zeta-Jones,Best Actress in a Supporting Role
2003,Roman Polanski,Best Director
2003,Talk to Her,"Best Writing, Original Screenplay"
2003,The Pianist,"Best Writing, Adapted Screenplay"
2003,Nowhere in Africa,Best Foreign Language Film
2003,Road to Perdition,Best Cinematography
2003,Chicago,Best Art Direction-Set Decoration
2003,Chicago,Best Costume Design
2003,Chicago,Best Sound
2003,The Lord of the Rings: The Two Towers,Best Sound Editing
2003,Chicago,Best Film Editing
2003,Frida,Best Makeup
2003,8 Mile,"Best Music, Original Song"
2003,Frida,"Best Music, Original Score"
2003,The Chubbchubbs!,"Best Short Film, Animated"
2003,This Charming Man,"Best Short Film, Live Action"
2003,Twin Towers,"Best Documentary, Short Subjects"
2003,Bowling for Columbine,"Best Documentary, Features"
2003,Spirited Away,Best Animated Feature
2003,The Lord of the Rings: The Two Towers,Best Visual Effects
2004,The Lord of the Rings: The Return of the King,Best Picture
2004,Sean Penn,Best Actor in a Leading Role
2004,Charlize Theron,Best Actress in a Leading Role
2004,Tim Robbins,Best Actor in a Supporting Role
2004,Renée Zellweger,Best Actress in a Supporting Role
2004,Lost in Translation,"Best Writing, Original Screenplay"
2004,The Lord of the Rings: The Return of the King,"Best Writing, Adapted Screenplay"
2004,The Barbarian Invasions,Best Foreign Language Film
2004,Master and Commander: The Far Side of the World,Best Cinematography
2004,The Lord of the Rings: The Return of the King,Best Costume Design
2004,Master and Commander: The Far Side of the World,Best Sound Editing
